IPs,milliseconds,PUTs,actualIPs,actualPUTs,reboots
8,467939,554,8,54,1
17,221015,632,15,94,1
37,554943,949,33,164,7
6,164214,138,4,9,0
22,711632,326,18,64,0
22,2432793,1708,20,113,8
8,603581,475,4,23,1
15,1768549,1067,13,174,4
3,334330,274,3,13,3
3,646788,651,3,101,2
11,862971,1557,11,293,16
6,11838,23,2,5,0
7,41291,91,2,6,0
7,32653,56,2,2,0
7,202466,483,4,55,5
13,177394,481,8,39,1
9,4716,20,3,7,0
2,106,2,1,1,0
12,207221,351,9,30,3
10,217701,418,4,32,9
8,77926,149,2,6,0
8,247982,519,3,65,3
7,98602,152,2,6,3
14,520137,962,11,231,12
7,14021,29,4,11,1
2,1527,3,2,2,0
3,4389,4,1,2,0
13,404433,544,8,65,3
14,156915,396,9,53,0
20,114787,364,11,58,1
24,128317,512,13,56,0
18,24052,93,8,12,0
13,4725,20,4,5,0
30,183714,498,16,61,1
9,36441,45,1,1,0
20,293685,538,11,64,2
1,694,3,1,2,0
6,11347,19,4,5,0
30,821653,1100,19,118,1
11,51016,73,2,6,0
6,27536,26,1,1,0
20,415521,633,10,57,1
14,172432,353,7,21,1
1,5,1,0,0,0
14,120056,338,4,200,2
4,2465,8,2,6,0
3,2939,9,2,6,0
7,5460,19,3,3,0
13,53909,228,7,48,11
8,8925,46,3,17,0
7,8625,48,2,17,2
5,2559,12,1,4,0
2,481,2,1,1,0
12,93559,297,4,58,18
12,90734,167,5,47,4
3,1774,6,2,2,0
4,30249,72,2,12,3
1,485,2,1,1,0
10,69319,202,6,115,13
3,12771,33,1,16,3
2,2466,7,1,5,0
5,19099,41,4,10,0
11,58995,160,6,21,0
13,118579,229,5,16,1
15,175425,376,8,71,5
11,71141,126,4,10,0
16,263856,568,8,45,2
10,25199,52,4,8,0
14,465425,735,5,43,7
17,359613,748,9,39,2
16,1137951,1222,8,60,10
21,2071971,1449,13,85,6
13,956980,512,6,29,0
16,2410896,1178,12,105,5
8,709215,324,3,10,0
7,566140,414,4,43,1
6,417571,199,4,14,1
16,3363576,896,13,70,1
9,1462984,301,6,21,0
11,2038129,417,9,59,3
9,1769847,256,7,19,1
