PUTs,reboots
16337,76
3957,25
3895,75
3749,18
2723,7
1297,11
688,5
679,4
600,3
596,1
551,6
478,1
471,4
447,6
409,8
336,0
332,1
320,6
317,0
313,18
308,3
307,2
300,2
295,1
294,18
287,10
247,11
222,3
221,8
220,4
216,4
213,2
165,6
160,1
159,4
156,2
135,5
129,2
126,0
125,2
120,0
104,3
98,1
90,0
84,0
81,0
80,7
80,0
75,8
70,0
67,1
63,1
63,0
61,0
59,2
58,1
57,2
55,1
55,0
54,0
51,1
47,0
46,0
45,0
45,0
43,1
43,0
43,1
42,1
41,2
41,1
40,0
37,0
37,1
36,0
34,0
34,0
33,0
33,2
33,0
32,1
32,1
32,1
31,0
30,1
30,0
29,0
26,0
26,0
25,0
24,1
23,1
23,0
23,0
23,1
23,0
22,0
22,1
22,0
21,0
21,1
21,0
19,0
19,1
19,0
19,0
18,0
18,0
18,2
17,0
17,0
17,0
17,0
17,0
16,0
16,0
15,0
15,0
15,0
15,1
15,0
14,1
14,1
14,0
14,0
13,0
13,0
13,0
13,1
13,0
12,0
12,0
12,0
12,0
11,0
11,0
11,0
11,0
11,0
10,0
10,0
10,0
10,0
10,0
10,1
10,0
9,0
9,1
9,0
9,0
8,0
8,0
8,0
8,0
8,0
8,0
8,0
8,0
8,0
8,0
8,0
8,0
7,0
7,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
5,0
4,0
4,0
4,0
4,0
4,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
