IP,puts
43868a53e5b3d81643dadc9f48d070b4, 1743
d92eca5c75ef46178cb6d62d85eac7c4, 1150
b249a4acae5976286b788d482312218e, 289
22eeec9a03b463eb1e8c17b9d0df5102, 221
31725560c8957ff89be92271dc9d170f, 218
124ea9a76099c14fd6acd31e4f606c7e, 180
4edecafb481748fd16bc763e0a4fd16e, 102
27276913f705c9b872ded24ed54d4065, 100
1d7ddfcbf69f42774d4bf081614e2a05, 99
8aa40a530943126c2a011c4440c9af24, 95
0d576398baa1d1cb7fda4b18a8a391c6, 91
ff5c39b0b983cd789087c957710b4a5b, 82
212ee97c29d5d83d13dbdc75b9b24a1c, 82
c639b20af23be12e617fa1ac4a84bff9, 75
368bae3a0d6f98cbaa7513a4c19f8a32, 66
c90b413e61d6d412bd3f9771341b00f2, 58
6e2b55a8f250f1f268137ff9fe009677, 42
9860f1c6433ec95ff4d44c362813d3fc, 41
2150c37f3879de255ab1f09b8a489bad, 38
dfc476ceca52923fcd4fc6e5504e8564, 32
072fce989bf5b7f39268ef4f18b291b5, 32
ec555072a4ea6b92a62da33f5de1c331, 25
2aa294296bf6434feb83c69174ecbb71, 23
19602d4efbc77f2a82ea7af386dee459, 20
cb4c6708b8e5dfe97ee84d71a259fd9b, 17
ea57f63f5d08866ad7a0eed22ba75a8f, 17
6d5ec00ca1b9f056b3b70f64df22aa13, 15
7419e2279d8b15a57ed7372b7af5bf32, 14
9c1c4edc2e34ca01443a999235592a6e, 13
7c793afeffdfffdbd75a4222b77e6ebf, 12
7c15e7551718af30c5c5475d8692cc2c, 12
deb87e4342db3f79ba597bc35a565dad, 11
e960d5ca09ba728e6f2e6b4bd4f310c4, 10
162ff94fbc2553290f6d2cd13eb79d61, 10
2b8f4adcaa51a846505f126e6322215a, 9
5593f75c940ce62d21efdf1f57a3a489, 9
a8cfa8ecce0e59f2310dc8b9e443837f, 8
cc1f6a32c4470787c5ebac1145f01bce, 8
32b85f70de6af2983bf03c51b3651005, 7
8377428c1519df207a1fea76709171d9, 7
61a0c2b3df29efd3e55e46684053a6ce, 6
ab55a1d4d84c8a96c7301dd9ec4c83f0, 5
1be56069820846009303adf87d44227b, 5
86718d36b544a95974fbbd442450198c, 5
f25e51a828f976424e9bc4cc726b6d8b, 5
15088cd20b35e65a4f76b501a47bf916, 4
bf22b1866092a3419f7c2715a711890f, 3
caef31e68d9d411f734e43aaca624339, 3
c662f88bda32f54c686a00436517d135, 3
c0760e2c9c59b10094cdd4588af61f6c, 3
fdd86eb1b3f58a011267e6b5d3441e3c, 3
7179fbadf3d89508a2592d8933c34d74, 2
e5f8f23d8eeb74b024a34799ee13d5b1, 2
e1a04e9cc100a6ab5f981637f4316e04, 2
226839410e7de7a9222648d969414832, 2
7f5eb48fea50f0897702dbdbb164e92c, 1
6e52c16f307b239c4bc3aa043a8cc9ec, 1
d8d10d1c5b648144eafcd3b58c5bf186, 1
